id;code;name_ar;name_en
1;navigate;Avon;Florida Games invoice
2;Administrator regional;withdrawal payment;pricing Soft open-source
3;Executive Cotton;violet;Upgradable Grass-roots
4;Fish;Intelligent Avon;Health Chair explicit
5;extensible cross-platform;transmit open-source;e-enable composite
6;online;Checking Australia Franc;Technician Small
7;payment;Associate Ergonomic Guatemala;unleash bi-directional Mobility
8;success;hack Gorgeous;Engineer orchid
9;Checking;mindshare card;Faroe turn-key
10;Carolina Throughway;Nepal frame Bedfordshire;input Customizable Accounts
