id;hardware_desc_ar;hardware_desc_en;supported_qty
1;deposit recontextualize Self-enabling;complexity;72534
2;Fundamental;Corporate;47477
3;solution-oriented Vatu;gold;12575
4;SMS Hills International;Infrastructure Computer bypass;7871
5;Plastic transmit;Investor Operations compress;29736
6;Salad Lead Jewelery;Savings;8043
7;Nepalese asynchronous invoice;Tools Rupee;81562
8;Gorgeous Creative Avon;deposit Configurable withdrawal;45249
9;pink impactful;Vision-oriented Illinois National;22900
10;Massachusetts withdrawal Outdoors;Refined Research;22991
