id;project_template_code;project_template_name_ar;project_template_name_en
1;withdrawal invoice;Cotton Chips;connecting Senior
2;TCP impactful;Research;capacitor Frozen bandwidth
3;orchid neural International;Buckinghamshire connect;Small Seychelles Egypt
4;Shoes Ball indexing;Islands;Indiana
5;Azerbaijan collaborative Ball;Via conglomeration;protocol Florida
6;bus orchestrate bandwidth-monitored;Plastic Shoes;Handcrafted services
7;users Toys Track;primary core;compressing Jersey SMTP
8;Armenia tan Frozen;Gold;program one-to-one THX
9;Chips;parsing partnerships;Buckinghamshire
10;back-end Licensed Rest;Games empower Music;yellow core Chips
