id;project_template_code;project_template_name_ar;project_template_name_en
1;functionalities;Gorgeous Soft;Engineer Investment
2;Keyboard Gloves South;People's Knoll Cambridgeshire;hacking
3;maroon Rustic reintermediate;non-volatile Louisiana;Investment
4;parse;Ergonomic compressing Macao;paradigms
5;Kenyan payment;Cedi;bluetooth Vista Books
6;Ball;withdrawal;Corporate
7;Card;Polarised Dobra;Fresh
8;back Sleek;Baby;Organic Chips analyzing
9;Awesome Minnesota management;Forward program database;Chief Forge Checking
10;Shoes Bedfordshire;magenta;COM Applications Rustic
